# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Oct 12 03:39:53 2017
#
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
#
rowid	pl_bmassj	pl_bmassjerr1	pl_bmassjerr2	pl_bmassjlim
1	19.40000	1.50000	-1.50000	0
2	10.50000	2.47000	-2.47000	0
3	4.80000			0
4	4.64000	0.19000	-0.19000	0
5	1.68000	0.15000	-0.15000	0
6	10.30000			0
7	8.00000	1.00000	-1.00000	0
8	1.99000	0.26000	-0.38000	0
9	0.86000	0.35000	-0.22000	0
10	24.50000	2.50000	-2.50000	0
11	13.90000	1.10000	-1.10000	0
12	7.50000	2.50000	-2.50000	0
13	4.00000	1.00000	-1.00000	0
14	1.90000	0.10000	-0.10000	0
15	20.95000	83.79000	-20.95000	0
16	12.50000	1.50000	-1.50000	0
17	9.88000	0.94000	-0.94000	0
18	7.10000	1.60000	-1.60000	0
19	3.88000	0.85000	-0.85000	0
20	2.53000	0.07000	-0.06000	0
21	0.54000	0.06600	-0.07300	0
22	1.64000	0.29000	-0.48000	0
23	2.00000			0
24	0.47200	0.03900	-0.03900	0
25	0.83060	0.00330	-0.00330	0
26	0.17140	0.00550	-0.00550	0
27	3.87800	0.06800	-0.06800	0
28	0.02542	0.00098	-0.00098	0
29	0.14100	0.01200	-0.01200	0
30	2.21000	0.11000	-0.16000	0
31	0.01600	0.00200	-0.00200	0
32	0.05700	0.00300	-0.00300	0
33	0.07200	0.00800	-0.00800	0
34	2.46000	0.14000	-0.14000	0
35	7.40000	0.02000	-0.02000	0
36	3.00000			0
37	1.50000	0.20000	-0.20000	0
38	5.30000			0
39	3.20000			0
40	13.50000	0.50000	-0.50000	0
41	6.40000	1.30000	-1.30000	0
42	1.47000			0
43	1.06100	0.27000	-0.27000	0
44	1.11000			0
45	6.37000	1.35000	-1.35000	0
46	21.42000			0
47	12.47000			0
48	4.20000			0
49	0.05129	0.01888	-0.01919	0
50	0.91000			0
51	1.60000	0.40000	-0.20000	0
52	0.02700	0.00400	-0.00400	0
53	0.17000	0.03000	-0.03000	0
54	0.04500	0.00700	-0.00700	0
55	0.33000	0.03000	-0.03000	0
56	0.45800	0.03900	-0.03900	0
57	0.53000	0.05000	-0.05000	0
58	10.60000			0
59	5.10000	0.12000	-0.12000	0
60	10.50000	4.50000	-4.50000	0
61	12.56900	8.37900	-5.23700	0
62	17.00000	6.00000	-6.00000	0
63	1.03000	0.12000	-0.12000	0
64	2.75000	0.16000	-0.16000	0
65	2.33000	0.34000	-0.34000	0
66	0.91700	0.07000	-0.06500	0
67	1.30800	0.06600	-0.06600	0
68	7.60000	0.60000	-0.60000	0
69	0.53500	0.08500	-0.08300	0
70	2.43000	0.30000	-0.30000	0
71	3.47000	0.38000	-0.38000	0
72	1.11000	0.06000	-0.06000	0
73	3.47000	0.22000	-0.22000	0
74	4.24000	0.23000	-0.23000	0
75	0.03800	0.04400	-0.02800	0
76	2.80000	0.30000	-0.30000	0
77	0.01800			1
78	0.08800	0.03500	-0.03500	0
79	0.27000	0.04000	-0.04000	0
80	0.52000	0.05000	-0.05000	0
81	10.39000	0.55000	-0.55000	0
